CustomerID,frequency,monetary,avg_ticket,max_ticket,std_ticket,n_products,recency_days,tenure_days,country,cluster
12346,12,77556.46,6463.038333333334,77183.6,13234.943417912516,27,325,400,United Kingdom,1
12347,8,5633.32,704.165,249.6,20.609092694507957,126,1,402,Iceland,1
12348,5,2019.4,403.88,240.0,44.20554915747258,25,74,362,Finland,1
12349,4,4428.69,1107.1725,300.0,33.761403029624454,138,18,570,Italy,1
12350,1,334.4,334.4,40.0,7.275538185065964,17,309,0,Norway,0
12351,1,300.93,300.93,23.4,4.014716677425693,21,374,0,Unspecified,0
12352,10,2849.84,284.98400000000004,376.5,47.1512621230674,70,35,356,Norway,1
12353,2,406.76,203.38,39.8,8.799588758506875,23,203,204,Bahrain,0
12354,1,1079.4,1079.4,54.08,8.679742086377074,58,231,0,Spain,0
12355,2,947.61,473.805,120.0,22.11047493874355,35,213,353,Bahrain,0
12356,6,6373.68,1062.28,424.5,59.89198990024108,104,22,401,Portugal,1
12357,3,18287.66,6095.886666666666,850.0,79.29144301502787,261,32,355,Switzerland,1
12358,5,3887.07,777.414,297.0,67.27612726107326,56,1,730,Austria,1
12359,10,8935.94,893.594,290.0,27.328705629298916,305,57,676,Cyprus,1
12360,8,4252.89,531.61125,160.0,20.009866392415717,160,51,603,Austria,1
12361,4,511.25,127.8125,33.0,3.838561794506675,18,286,394,Belgium,0
12362,11,5356.23,486.93,130.0,11.775568076080406,201,2,735,Belgium,1
12363,2,552.0,276.0,69.36,15.75123891231186,23,109,132,Unspecified,0
12364,4,1313.1,328.275,64.8,8.910810071730502,70,7,104,Belgium,0
12365,2,641.38,320.69,320.69,65.1966351414414,22,290,0,Cyprus,0
12366,1,500.24,500.24,175.76,7.80577563944373,3,633,0,Cyprus,0
12367,1,168.9,168.9,23.4,5.648958069655612,11,3,0,Denmark,0
12368,1,917.7,917.7,119.4,29.271814389392723,18,627,0,Cyprus,0
12369,3,1791.15,597.0500000000001,200.0,24.5488992249282,90,412,228,Austria,0
12370,7,4320.31,617.1871428571429,163.2,21.72967233378153,168,50,617,Cyprus,1
12371,5,4067.38,813.476,360.0,33.320323813581346,134,44,600,Switzerland,1
12372,3,1298.04,432.68,70.80000000000001,16.38258168926466,34,71,224,Denmark,0
12373,3,1127.65,375.8833333333334,80.0,15.199579973556803,36,310,362,Austria,0
12374,4,2989.2200000000003,747.3050000000001,200.0,28.829568000001416,79,24,563,Austria,1
12375,2,457.5,228.75,62.400000000000006,14.672205115154863,14,10,87,Finland,0
12376,2,503.15,251.575,100.8,30.968118428060155,11,389,28,Switzerland,0
12377,4,3426.32,856.58,80.0,15.27969332002416,129,314,274,Switzerland,0
12378,2,5416.32,2708.16,69.36,8.561977696625902,281,129,432,Switzerland,1
12379,4,1620.22,405.055,76.19999999999999,10.28763420475593,58,81,452,Belgium,1
12380,11,9676.3,879.6636363636364,1508.65,93.69673130466374,156,21,640,Belgium,1
12381,5,1845.31,369.062,240.0,25.892950235134972,70,4,115,Norway,0
12383,5,1850.56,370.112,72.0,12.680055152091024,84,184,167,Belgium,0
12384,2,585.27,292.635,80.0,17.295302608156128,26,28,92,Switzerland,0
12385,1,1938.4,1938.4,270.0,34.521105375496795,65,378,0,Belgium,0
12386,2,660.8,330.4,75.0,20.538969814617083,10,337,29,Australia,0
12387,1,143.94,143.94,33.9,7.734248509066669,9,414,0,Australia,0
12388,8,3901.11,487.63875,81.36,16.813294759949088,83,15,566,Australia,1
12389,3,1433.33,477.7766666666666,204.0,31.130745142258405,41,402,253,Australia,0
12390,1,549.84,549.84,45.0,7.172142344268664,32,79,0,Belgium,0
12391,6,2773.42,462.2366666666667,151.20000000000002,14.257287295963929,241,21,641,Cyprus,1
12392,1,234.75000000000003,234.75000000000003,70.80000000000001,25.706560678254142,7,590,0,Australia,0
12393,6,2399.4500000000003,399.90833333333336,141.60000000000002,15.449982252282314,63,71,356,Australia,1
12394,2,1272.48,636.24,266.24,64.92458923381407,26,63,153,Belgium,0
12395,15,5067.27,337.81800000000004,90.0,12.639673329767191,145,18,583,Belgium,1
12396,1,931.43,931.43,19.9,3.5209391366290537,65,673,0,RSA,0
12397,2,2409.9,1204.95,127.5,15.703009487720134,110,35,99,Belgium,0
12398,1,1635.66,1635.66,200.0,22.43008874276701,85,45,0,Switzerland,0
12399,7,1962.3,280.3285714285714,70.2,9.392297795617852,67,118,525,Belgium,1
12400,1,205.25,205.25,29.700000000000003,5.161628530891108,11,413,0,Australia,0
12401,1,84.3,84.3,25.5,5.419340365764086,5,302,0,Belgium,0
12402,6,1256.9,209.48333333333332,35.400000000000006,5.5016436467418535,43,322,347,Belgium,0
12403,2,1019.36,509.68,244.08,88.75684055014827,5,49,471,Denmark,1
12404,1,63.24,63.24,63.24,0.0,1,681,0,Finland,0
12405,1,1710.39,1710.39,320.0,42.769103308331616,54,148,0,Finland,0
